name;flow;Hm
KSB  32-160 144;0,000610;38,02706
KSB  32-160 144;0,000611;38,0269
KSB  32-160 144;0,000612;38,02673
KSB  32-160 144;0,000613;38,02657
KSB  32-160 144;0,000614;38,0264
KSB  32-160 144;0,000615;38,02624
KSB  32-160 144;0,000616;38,02607
KSB  32-160 144;0,000617;38,0259
KSB  32-160 144;0,000618;38,02574
KSB  32-160 144;0,000619;38,02557
KSB  32-160 144;0,000620;38,0254
KSB  32-160 144;0,000621;38,02524
KSB  32-160 144;0,000622;38,02507
KSB  32-160 144;0,000623;38,0249
KSB  32-160 144;0,000624;38,02473
KSB  32-160 144;0,000625;38,02456
KSB  32-160 144;0,000626;38,02439
KSB  32-160 144;0,000627;38,02422
KSB  32-160 144;0,000628;38,02405
KSB  32-160 144;0,000629;38,02388
KSB  32-160 144;0,000630;38,02371
KSB  32-160 144;0,000631;38,02354
KSB  32-160 144;0,000632;38,02337
KSB  32-160 144;0,000633;38,0232
KSB  32-160 144;0,000634;38,02303
KSB  32-160 144;0,000635;38,02286
KSB  32-160 144;0,000636;38,02268
KSB  32-160 144;0,000637;38,02251
KSB  32-160 144;0,000638;38,02234
KSB  32-160 144;0,000639;38,02216
KSB  32-160 144;0,000640;38,02199
KSB  32-160 144;0,000641;38,02182
KSB  32-160 144;0,000642;38,02164
KSB  32-160 144;0,000643;38,02147
KSB  32-160 144;0,000644;38,02129
KSB  32-160 144;0,000645;38,02111
KSB  32-160 144;0,000646;38,02094
KSB  32-160 144;0,000647;38,02076
KSB  32-160 144;0,000648;38,02059
KSB  32-160 144;0,000649;38,02041
KSB  32-160 144;0,000650;38,02023
KSB  32-160 144;0,000651;38,02005
KSB  32-160 144;0,000652;38,01988
KSB  32-160 144;0,000653;38,0197
KSB  32-160 144;0,000654;38,01952
KSB  32-160 144;0,000655;38,01934
KSB  32-160 144;0,000656;38,01916
KSB  32-160 144;0,000657;38,01898
KSB  32-160 144;0,000658;38,0188
KSB  32-160 144;0,000659;38,01862
KSB  32-160 144;0,000660;38,01844
KSB  32-160 144;0,000661;38,01826
KSB  32-160 144;0,000662;38,01808
KSB  32-160 144;0,000663;38,0179
KSB  32-160 144;0,000664;38,01771
KSB  32-160 144;0,000665;38,01753
KSB  32-160 144;0,000666;38,01735
KSB  32-160 144;0,000667;38,01717
KSB  32-160 144;0,000668;38,01698
KSB  32-160 144;0,000669;38,0168
KSB  32-160 144;0,000670;38,01661
KSB  32-160 144;0,000671;38,01643
KSB  32-160 144;0,000672;38,01625
KSB  32-160 144;0,000673;38,01606
KSB  32-160 144;0,000674;38,01587
KSB  32-160 144;0,000675;38,01569
KSB  32-160 144;0,000676;38,0155
KSB  32-160 144;0,000677;38,01532
KSB  32-160 144;0,000678;38,01513
KSB  32-160 144;0,000679;38,01494
KSB  32-160 144;0,000680;38,01476
KSB  32-160 144;0,000681;38,01457
KSB  32-160 144;0,000682;38,01438
KSB  32-160 144;0,000683;38,01419
KSB  32-160 144;0,000684;38,014
KSB  32-160 144;0,000685;38,01381
KSB  32-160 144;0,000686;38,01362
KSB  32-160 144;0,000687;38,01343
KSB  32-160 144;0,000688;38,01324
KSB  32-160 144;0,000689;38,01305
KSB  32-160 144;0,000690;38,01286
KSB  32-160 144;0,000691;38,01267
KSB  32-160 144;0,000692;38,01248
KSB  32-160 144;0,000693;38,01229
KSB  32-160 144;0,000694;38,0121
KSB  32-160 144;0,000695;38,0119
KSB  32-160 144;0,000696;38,01171
KSB  32-160 144;0,000697;38,01152
